wavenumber,s1t1,s1t2,s1t3,s2t1,s2t2,s2t3,s3t1,s3t2,s3t3,s4t1,s4t2,s4t3,s5t1,s5t2,s5t3,s6t1,s6t2,s6t3,s7t1,s7t2,s7t3,s8t1,s8t2,s8t3,s9t1,s9t2,s9t3,s10t1,s10t2,s10t3,s11t1,s11t2,s11t3,s12t1,s12t2,s12t3,s13t1,s13t2,s13t3
1.678731E+03,4.544658E-02,4.544846E-02,4.789214E-02,1.557777E-02,1.439677E-02,1.719081E-02,2.050011E-02,2.284392E-02,2.553063E-02,2.906760E-02,3.698023E-02,3.550217E-02,2.032226E-02,2.550418E-02,1.379547E-02,2.361039E-02,2.235474E-02,2.864091E-02,3.864061E-02,3.465694E-02,3.219787E-02,2.219444E-02,2.039949E-02,2.230231E-02,3.012314E-02,3.701750E-02,3.522633E-02,1.468437E-02,1.677228E-02,2.056399E-02,2.229035E-02,2.741017E-02,2.999176E-02,3.363194E-02,3.990905E-02,4.231770E-02,1.437197E-02,1.177907E-02,1.616118E-02
1.679213E+03,4.532733E-02,4.535201E-02,4.778231E-02,1.566346E-02,1.446956E-02,1.726710E-02,2.059970E-02,2.289864E-02,2.559821E-02,2.909970E-02,3.695876E-02,3.552256E-02,2.042744E-02,2.555175E-02,1.389867E-02,2.367533E-02,2.246066E-02,2.870918E-02,3.865742E-02,3.466534E-02,3.221186E-02,2.230625E-02,2.049042E-02,2.237912E-02,3.014285E-02,3.698510E-02,3.516784E-02,1.478792E-02,1.686676E-02,2.064043E-02,2.234113E-02,2.741401E-02,2.997269E-02,3.362958E-02,3.985788E-02,4.222574E-02,1.445997E-02,1.188500E-02,1.622498E-02
1.679695E+03,4.505834E-02,4.510818E-02,4.750063E-02,1.561610E-02,1.442599E-02,1.723077E-02,2.057386E-02,2.281081E-02,2.554483E-02,2.898871E-02,3.677149E-02,3.539938E-02,2.039088E-02,2.546408E-02,1.386446E-02,2.360133E-02,2.243958E-02,2.862785E-02,3.852213E-02,3.450423E-02,3.206960E-02,2.228609E-02,2.044700E-02,2.231748E-02,3.003124E-02,3.681834E-02,3.498040E-02,1.477256E-02,1.683155E-02,2.058195E-02,2.225334E-02,2.728504E-02,2.981278E-02,3.346900E-02,3.964477E-02,4.196877E-02,1.442743E-02,1.186433E-02,1.615823E-02
1.680177E+03,4.459732E-02,4.467095E-02,4.700715E-02,1.539146E-02,1.422428E-02,1.703875E-02,2.037466E-02,2.253876E-02,2.532413E-02,2.869803E-02,3.639077E-02,3.509052E-02,2.017719E-02,2.521157E-02,1.367105E-02,2.336102E-02,2.226157E-02,2.837045E-02,3.821205E-02,3.415876E-02,3.175465E-02,2.211177E-02,2.025071E-02,2.209685E-02,2.976992E-02,3.649949E-02,3.464729E-02,1.461939E-02,1.664498E-02,2.036754E-02,2.201123E-02,2.701130E-02,2.950234E-02,3.312814E-02,3.924833E-02,4.153727E-02,1.425106E-02,1.169394E-02,1.593846E-02
1.680659E+03,4.399287E-02,4.408296E-02,4.636147E-02,1.503262E-02,1.390647E-02,1.673037E-02,2.004260E-02,2.213314E-02,2.497616E-02,2.828638E-02,3.589140E-02,3.465382E-02,1.984507E-02,2.485689E-02,1.338573E-02,2.301797E-02,2.198694E-02,2.800681E-02,3.780412E-02,3.371777E-02,3.134892E-02,2.184900E-02,1.996884E-02,2.178552E-02,2.942975E-02,3.609762E-02,3.423993E-02,1.439704E-02,1.637607E-02,2.006894E-02,2.168913E-02,2.666705E-02,2.911851E-02,3.267701E-02,3.874443E-02,4.101425E-02,1.399081E-02,1.143287E-02,1.562973E-02
1.681141E+03,4.337123E-02,4.346299E-02,4.570268E-02,1.465914E-02,1.358735E-02,1.641774E-02,1.969655E-02,2.172306E-02,2.461598E-02,2.788964E-02,3.542559E-02,3.422881E-02,1.952739E-02,2.453559E-02,1.314178E-02,2.270564E-02,2.174605E-02,2.767801E-02,3.744723E-02,3.334304E-02,3.100406E-02,2.162996E-02,1.973150E-02,2.151839E-02,2.914743E-02,3.574516E-02,3.389302E-02,1.423931E-02,1.616270E-02,1.982773E-02,2.142572E-02,2.638739E-02,2.879914E-02,3.225389E-02,3.828062E-02,4.054521E-02,1.377040E-02,1.120335E-02,1.536138E-02
1.681623E+03,4.290747E-02,4.297788E-02,4.521436E-02,1.443763E-02,1.342650E-02,1.625735E-02,1.950236E-02,2.148417E-02,2.440364E-02,2.768458E-02,3.518231E-02,3.399824E-02,1.939560E-02,2.442046E-02,1.310183E-02,2.259104E-02,2.170126E-02,2.755722E-02,3.732008E-02,3.322449E-02,3.089956E-02,2.161624E-02,1.969561E-02,2.146109E-02,2.908769E-02,3.560196E-02,3.376851E-02,1.430749E-02,1.617322E-02,1.981639E-02,2.138492E-02,2.633106E-02,2.870465E-02,3.202851E-02,3.803646E-02,4.029952E-02,1.374375E-02,1.115718E-02,1.529394E-02
1.682105E+03,4.280306E-02,4.282076E-02,4.509708E-02,1.455456E-02,1.359826E-02,1.641974E-02,1.964284E-02,2.160684E-02,2.451406E-02,2.785197E-02,3.534698E-02,3.414933E-02,1.962243E-02,2.468304E-02,1.341666E-02,2.283602E-02,2.200576E-02,2.780750E-02,3.758577E-02,3.353310E-02,3.119680E-02,2.195661E-02,2.000378E-02,2.176936E-02,2.940011E-02,3.581611E-02,3.401326E-02,1.474305E-02,1.656153E-02,2.019267E-02,2.171108E-02,2.663826E-02,2.897613E-02,3.216618E-02,3.818351E-02,4.043199E-02,1.405556E-02,1.144002E-02,1.557972E-02
1.682588E+03,4.318329E-02,4.311482E-02,4.546277E-02,1.511368E-02,1.419200E-02,1.699095E-02,2.021301E-02,2.218834E-02,2.503804E-02,2.846702E-02,3.598534E-02,3.475916E-02,2.027525E-02,2.538339E-02,1.412258E-02,2.349188E-02,2.269855E-02,2.847417E-02,3.827856E-02,3.430206E-02,3.192618E-02,2.268281E-02,2.068397E-02,2.248358E-02,3.011333E-02,3.642234E-02,3.465611E-02,1.556073E-02,1.735700E-02,2.098838E-02,2.242444E-02,2.732812E-02,2.963283E-02,3.272616E-02,3.877660E-02,4.098086E-02,1.474281E-02,1.209499E-02,1.626213E-02
1.683070E+03,4.396386E-02,4.378809E-02,4.620466E-02,1.601130E-02,1.509252E-02,1.785552E-02,2.109745E-02,2.310393E-02,2.586389E-02,2.937604E-02,3.691850E-02,3.566778E-02,2.119955E-02,2.635028E-02,1.503708E-02,2.438888E-02,2.359979E-02,2.937394E-02,3.919317E-02,3.530917E-02,3.287550E-02,2.360350E-02,2.154948E-02,2.341847E-02,3.102990E-02,3.723997E-02,3.550598E-02,1.654518E-02,1.835410E-02,2.199673E-02,2.332088E-02,2.819985E-02,3.047472E-02,3.355125E-02,3.963733E-02,4.176418E-02,1.563289E-02,1.296286E-02,1.716985E-02
